iter	Passed	Remaining
0	199	99504
1	284	70763
2	378	62649
3	475	58907
4	566	56119
5	646	53212
6	729	51375
7	823	50663
8	911	49705
9	1001	49056
10	1088	48401
11	1175	47813
12	1259	47167
13	1355	47046
14	1460	47228
15	1570	47506
16	1689	47991
17	1792	48005
18	1899	48082
19	2038	48925
20	2195	50082
21	2308	50151
22	2424	50279
23	2524	50065
24	2622	49830
25	2727	49732
26	2828	49555
27	2922	49271
28	3028	49185
29	3122	48912
30	3233	48913
31	3341	48870
32	3474	49169
33	3571	48954
34	3665	48692
35	3758	48445
36	3855	48243
37	3951	48043
38	4047	47843
39	4148	47710
40	4243	47503
41	4340	47327
42	4443	47221
43	4558	47237
44	4653	47056
45	4748	46864
46	4861	46860
47	4954	46654
48	5053	46512
49	5156	46410
50	5268	46386
51	5362	46196
52	5459	46046
53	5555	45882
54	5657	45777
55	5756	45638
56	5868	45612
57	5984	45609
58	6087	45501
59	6181	45328
60	6287	45251
61	6382	45092
62	6489	45011
63	6601	44970
64	6710	44905
65	6803	44741
66	6906	44636
67	7013	44557
68	7114	44440
69	7219	44347
70	7321	44239
71	7417	44091
72	7520	43990
73	7619	43864
74	7729	43800
75	7819	43626
76	7906	43433
77	8027	43430
78	8146	43414
79	8248	43303
80	8363	43261
81	8479	43223
82	8580	43109
83	8679	42984
84	8786	42896
85	8877	42736
86	8987	42664
87	9110	42653
88	9210	42535
89	9300	42367
90	9385	42184
91	9476	42027
92	9573	41898
93	9661	41727
94	9757	41596
95	9851	41456
96	9936	41281
97	10025	41126
98	10118	40983
99	10202	40811
100	10296	40677
101	10379	40500
102	10466	40340
103	10555	40193
104	10645	40048
105	10740	39923
106	10836	39799
107	10940	39710
108	11035	39585
109	11137	39487
110	11227	39346
111	11375	39408
112	11524	39467
113	11630	39380
114	11739	39300
115	11856	39248
116	12011	39321
117	12105	39190
118	12232	39164
119	12319	39012
120	12397	38831
121	12486	38687
122	12571	38532
123	12657	38379
124	12745	38236
125	12831	38086
126	12913	37926
127	12994	37765
128	13085	37633
129	13177	37505
130	13310	37493
131	13398	37352
132	13482	37204
133	13562	37045
134	13650	36907
135	13737	36768
136	13818	36614
137	13903	36470
138	13988	36328
139	14075	36195
140	14154	36039
141	14245	35914
142	14332	35781
143	14420	35650
144	14508	35520
145	14603	35409
146	14678	35247
147	14763	35113
148	14846	34972
149	14931	34839
150	15013	34698
151	15102	34576
152	15176	34419
153	15258	34283
154	15338	34141
155	15426	34017
156	15526	33919
157	15613	33796
158	15693	33657
159	15780	33533
160	15866	33407
161	15958	33295
162	16044	33171
163	16126	33039
164	16201	32894
165	16282	32762
166	16371	32644
167	16463	32535
168	16552	32419
169	16632	32287
170	16709	32147
171	16794	32025
172	16876	31899
173	16961	31779
174	17054	31671
175	17133	31542
176	17210	31407
177	17289	31275
178	17372	31153
179	17462	31044
180	17548	30927
181	17632	30807
182	17713	30683
183	17798	30566
184	17878	30441
185	17946	30297
186	18031	30181
187	18125	30081
188	18218	29978
189	18309	29874
190	18394	29759
191	18477	29640
192	18564	29529
193	18653	29421
